nameWithOwner,url,createdAt,commitedDate,commitCountAfterFork,number_of_insertion_lines,number_of_deletion_lines,number_of_insertion_lines_in_readme,number_of_deletion_lines_in_readme,number_of_create_files,number_of_delete_files
ikhem/framework-shop,https://github.com/ikhem/framework-shop,2017-07-08T04:26:07+09,2017-07-08T07:19:31+09,2,6150,36,0,0,4,0
dadleatherwood/framework-shop,https://github.com/dadleatherwood/framework-shop,2017-07-21T03:37:05+09,2017-07-21T06:18:35+09,8,6360,34,0,0,4,0
john22n/framework-shop,https://github.com/john22n/framework-shop,2017-07-21T03:38:34+09,2017-07-25T10:50:20+09,1,10125,25,0,0,12,0
Sean-Char/framework-shop,https://github.com/Sean-Char/framework-shop,2017-07-21T03:53:33+09,2017-07-22T05:25:42+09,1,6348,36,0,0,3,0
GarrettChapman/framework-shop,https://github.com/GarrettChapman/framework-shop,2017-07-21T03:56:05+09,2017-10-27T05:17:11+09,2,297,121,0,0,3,0
hscottharrison/framework-shop,https://github.com/hscottharrison/framework-shop,2017-07-21T04:41:02+09,2017-07-21T10:48:18+09,1,9216,63,0,0,4,0
cdev2/framework-shop,https://github.com/cdev2/framework-shop,2017-07-21T05:01:27+09,2017-07-21T10:46:25+09,1,39,0,0,0,3,0
janises/framework-shop,https://github.com/janises/framework-shop,2017-08-03T08:12:27+09,2017-08-04T05:35:10+09,1,8245,29,0,0,4,0
emkeator/framework-shop,https://github.com/emkeator/framework-shop,2017-08-04T02:56:28+09,2017-08-04T05:40:19+09,1,136,34,0,0,3,0
yabbbs/framework-shop,https://github.com/yabbbs/framework-shop,2017-08-04T04:23:39+09,2017-08-04T06:00:39+09,1,9301,102,0,0,2,0
seanqureshi/framework-shop,https://github.com/seanqureshi/framework-shop,2017-08-04T04:33:54+09,2017-09-26T03:10:21+09,1,215,108,0,0,3,0
chegior/framework-shop,https://github.com/chegior/framework-shop,2017-08-09T10:14:38+09,2017-08-09T11:50:49+09,1,123,54,0,0,1,0
ryand825/framework-shop,https://github.com/ryand825/framework-shop,2017-08-13T02:01:44+09,2017-08-13T02:24:31+09,1,270,161,0,0,3,0
