nameWithOwner,url,createdAt,commitedDate,commitCountAfterFork,number_of_insertion_lines,number_of_deletion_lines,number_of_insertion_lines_in_readme,number_of_deletion_lines_in_readme,number_of_create_files,number_of_delete_files
TrampleFirstStrike/react-2-afternoon,https://github.com/TrampleFirstStrike/react-2-afternoon,2018-01-30T06:08:05+09,2018-01-30T07:50:38+09,1,8826,24,0,0,1,0
stevesmithsays/react-2-afternoon,https://github.com/stevesmithsays/react-2-afternoon,2018-01-30T06:15:02+09,2018-01-30T12:54:10+09,1,8936,41,0,0,1,0
miemajor/react-2-afternoon,https://github.com/miemajor/react-2-afternoon,2018-01-30T06:25:59+09,2018-01-30T12:55:35+09,1,9138,79,0,0,1,0
joshborup/react-2-afternoon,https://github.com/joshborup/react-2-afternoon,2018-01-30T06:26:10+09,2018-01-31T01:03:38+09,3,9181,44,0,0,1,0
jordanmbush/react-2-afternoon,https://github.com/jordanmbush/react-2-afternoon,2018-01-30T06:27:17+09,2018-01-30T13:14:08+09,10,9171,30,0,0,1,0
RyanStupey-wpx3/react-2-afternoon,https://github.com/RyanStupey-wpx3/react-2-afternoon,2018-01-30T06:44:36+09,2018-01-30T09:15:18+09,1,54,5,0,0,0,0
Mkoerber7/react-2-afternoon,https://github.com/Mkoerber7/react-2-afternoon,2018-01-30T11:17:01+09,2018-02-18T08:14:19+09,1,824,180,0,0,0,0
Scott-A-Abbott/react-2-afternoon,https://github.com/Scott-A-Abbott/react-2-afternoon,2018-02-06T04:48:15+09,2018-02-06T07:29:01+09,1,7909,3,0,0,1,0
Devinbeth/react-2-afternoon,https://github.com/Devinbeth/react-2-afternoon,2018-02-06T05:20:56+09,2018-02-07T01:40:53+09,4,7999,42,0,0,1,0
dev-potato/react-2-afternoon,https://github.com/dev-potato/react-2-afternoon,2018-02-06T05:31:24+09,2018-02-06T23:49:10+09,2,123,18,0,0,0,0
BlairBryant/react-2-afternoon,https://github.com/BlairBryant/react-2-afternoon,2018-02-06T05:43:57+09,2018-02-06T10:56:50+09,1,389,72,0,0,0,0
xanadew/react-2-afternoon,https://github.com/xanadew/react-2-afternoon,2018-02-06T05:46:06+09,2018-02-06T14:12:39+09,1,8895,33,0,0,1,0
jgfdevmtn/react-2-afternoon,https://github.com/jgfdevmtn/react-2-afternoon,2018-02-10T05:50:40+09,2018-02-10T05:59:48+09,1,9910,328,0,0,1,0
mrisby-12/react-2-afternoon,https://github.com/mrisby-12/react-2-afternoon,2018-02-26T08:44:08+09,2018-02-26T11:52:04+09,1,9209,93,0,0,4,0
bkchu/react-2-afternoon,https://github.com/bkchu/react-2-afternoon,2018-02-27T03:09:17+09,2018-02-27T10:09:58+09,10,1385,271,0,0,3,0
GeorgeTu/react-2-afternoon,https://github.com/GeorgeTu/react-2-afternoon,2018-02-27T04:12:44+09,2018-02-27T13:12:39+09,2,9157,94,0,0,1,0
kevinptx/react-2-afternoon,https://github.com/kevinptx/react-2-afternoon,2018-02-27T04:40:38+09,2018-02-27T11:09:34+09,1,9959,304,0,0,4,0
DanielPacker-DM12/react-2-afternoon,https://github.com/DanielPacker-DM12/react-2-afternoon,2018-02-27T04:50:47+09,2018-02-27T06:41:54+09,1,8999,79,0,0,1,0
RevHam1/react-2-afternoon,https://github.com/RevHam1/react-2-afternoon,2018-02-27T04:50:50+09,2018-03-06T16:38:38+09,10,9218,52,0,0,2,0
berheet/react-2-afternoon,https://github.com/berheet/react-2-afternoon,2018-02-28T05:38:09+09,2018-02-28T13:30:22+09,3,15,3,0,0,0,0
uukomadu/react-2-afternoon,https://github.com/uukomadu/react-2-afternoon,2018-02-28T12:45:08+09,2018-03-18T12:09:10+09,1,8725,2,0,0,1,0
BlackshearDevCo/react-2-afternoon,https://github.com/BlackshearDevCo/react-2-afternoon,2018-03-19T03:06:31+09,2018-03-19T05:02:40+09,1,9075,78,0,0,1,0
phillipsun/react-2-afternoon,https://github.com/phillipsun/react-2-afternoon,2018-04-12T13:42:46+09,2018-04-17T08:58:28+09,3,8843,10,0,0,1,0
daltonbagley/react-2-afternoon,https://github.com/daltonbagley/react-2-afternoon,2018-04-13T00:09:20+09,2018-04-15T04:16:24+09,1,8136,76,0,0,1,0
Deraj21/react-2-afternoon,https://github.com/Deraj21/react-2-afternoon,2018-04-14T07:33:11+09,2018-04-18T11:54:37+09,5,9246,13,0,0,4,0
bheadwhite/react-2-afternoon,https://github.com/bheadwhite/react-2-afternoon,2018-04-14T11:04:05+09,2018-04-16T08:39:27+09,2,9157,76,0,0,1,0
bfrest/react-2-afternoon,https://github.com/bfrest/react-2-afternoon,2018-04-15T04:31:34+09,2018-04-23T00:25:14+09,1,9813,350,0,0,3,0
JaclynShahan/react-2-afternoon,https://github.com/JaclynShahan/react-2-afternoon,2019-03-12T07:05:22+09,2019-03-17T12:27:19+09,1,10518,131,0,0,4,0
amantina05/react-2-afternoon,https://github.com/amantina05/react-2-afternoon,2019-11-27T03:39:10+09,2019-12-01T01:47:47+09,1,10002,25,0,0,1,0
